category,subcategory,rank,keyword,affinity
Science,Space/Astronomy,9,new years and im,0.6666666666666667
Science,Space/Astronomy,9,radio astronomy,0.6666666666666667
Science,Space/Astronomy,9,the first,0.6666666666666667
Science,Space/Astronomy,9,head ass,0.6666666666666667
Science,Space/Astronomy,9,mobile astronomy apps apps,0.6666666666666667
Science,Space/Astronomy,9,why n,0.6666666666666667
Science,Space/Astronomy,9,big cypress national preserves astronomy program,0.6666666666666667
Science,Space/Astronomy,9,a beautiful wife,0.6666666666666667
Science,Space/Astronomy,9,movie stars,0.6666666666666667
Science,Space/Astronomy,9,occer bar drinking,0.6666666666666667
Science,Space/Astronomy,9,son gio,0.6666666666666667
Science,Space/Astronomy,9,outer space ht,0.6666666666666667
Science,Space/Astronomy,9,astronomy same time,0.6666666666666667
Science,Space/Astronomy,9,the large hadron collider,0.6666666666666667
Science,Space/Astronomy,9,amateur sex ass,0.6666666666666667
Science,Space/Astronomy,9,many fundamentalists dont,0.6666666666666667
Science,Space/Astronomy,9,got astronomy and english to do,0.6666666666666667
Science,Space/Astronomy,9,the stellar lia halloran,0.6666666666666667
Science,Space/Astronomy,9,football memorabilia old,0.6666666666666667
Science,Space/Astronomy,9,hot onsale,0.6666666666666667
Science,Space/Astronomy,9,cocoa and coffee,0.6666666666666667
Science,Space/Astronomy,9,allnew episode,0.6666666666666667
Science,Space/Astronomy,9,the family,0.6666666666666667
Family & Parenting,Adoption,7,makeup nails,6.25
Family & Parenting,Adoption,7,a girl,6.25
Family & Parenting,Adoption,7,health care,5.357142857142857
Family & Parenting,Adoption,7,a great political football,4.464285714285714
Family & Parenting,Adoption,7,the family,2.6785714285714284
Family & Parenting,Adoption,7,gary cooper histoire cinema,2.6785714285714284
Family & Parenting,Adoption,7,son s football game,1.7857142857142856
Family & Parenting,Adoption,7,new family,1.7857142857142856
Family & Parenting,Adoption,7,dog maitaiccstca01,1.7857142857142856
Family & Parenting,Adoption,7,incredible soldier surprises,1.7857142857142856
Family & Parenting,Adoption,7,boyfriend liam payne jets off,0.8928571428571428
Family & Parenting,Adoption,7,ehhem humans,0.8928571428571428
Family & Parenting,Adoption,7,uva contribution,0.8928571428571428
Family & Parenting,Adoption,7,the foxes,0.8928571428571428
Family & Parenting,Adoption,7,brother chad,0.8928571428571428
Family & Parenting,Adoption,7,big day,0.8928571428571428
Family & Parenting,Adoption,7,the only person,0.8928571428571428
Family & Parenting,Adoption,7,little brother,0.8928571428571428
Family & Parenting,Adoption,7,donaldn the duck,0.8928571428571428
Family & Parenting,Adoption,7,verne lundquist,0.8928571428571428
Family & Parenting,Adoption,7,the coffees,0.8928571428571428
Family & Parenting,Adoption,7,a lane,0.8928571428571428
Family & Parenting,Adoption,7,paper towns,0.8928571428571428
Family & Parenting,Adoption,7,a bittersweet moment,0.8928571428571428
Family & Parenting,Adoption,7,kristen stewart,0.8928571428571428
Family & Parenting,Adoption,7,a shelter,0.8928571428571428
Family & Parenting,Adoption,7,my baby sister,0.8928571428571428
Family & Parenting,Adoption,7,sec f,0.8928571428571428
Family & Parenting,Adoption,7,true story god,0.8928571428571428
Family & Parenting,Adoption,7,little cookie,0.8928571428571428
Family & Parenting,Adoption,7,sake dont,0.8928571428571428
Family & Parenting,Adoption,7,small group,0.8928571428571428
Family & Parenting,Adoption,7,cop convicted,0.8928571428571428
Family & Parenting,Adoption,7,the hell,0.8928571428571428
Family & Parenting,Adoption,7,pokemongo pok,0.8928571428571428
Family & Parenting,Adoption,7,only adoption fee,0.8928571428571428
Family & Parenting,Adoption,7,email w,0.8928571428571428
Family & Parenting,Adoption,7,new home,0.8928571428571428
Family & Parenting,Adoption,7,the kids,0.8928571428571428
Family & Parenting,Adoption,7,adoption campaign,0.8928571428571428
Family & Parenting,Adoption,7,the same family,0.8928571428571428
Family & Parenting,Adoption,7,brain or heart care,0.8928571428571428
Family & Parenting,Adoption,7,new family googlealerts,0.8928571428571428
Family & Parenting,Adoption,7,campo community,0.8928571428571428
Family & Parenting,Adoption,7,the new daily,0.8928571428571428
Family & Parenting,Adoption,7,teepublic starry pipe,0.8928571428571428
Family & Parenting,Adoption,7,a former jd football player,0.8928571428571428
Family & Parenting,Adoption,7,the thousands,0.8928571428571428
Family & Parenting,Adoption,7,baby cuteness pictorial,0.8928571428571428
Family & Parenting,Adoption,7,war crimes trial prosecution,0.8928571428571428
Family & Parenting,Eldercare,7,the media,17.5
Family & Parenting,Eldercare,7,own way,17.5
Family & Parenting,Eldercare,7,telling jo karna hi kar lo dont care,7.5
Family & Parenting,Eldercare,7,college football,7.5
Family & Parenting,Eldercare,7,stabbed and aint care,3.75
Family & Parenting,Eldercare,7,slump and indias rise,2.5
Family & Parenting,Eldercare,7,grt thalaivaa,2.5
Family & Parenting,Eldercare,7,asian age,2.5
Family & Parenting,Eldercare,7,dont prep,2.5
Family & Parenting,Eldercare,7,a movie,2.5
Family & Parenting,Eldercare,7,a football coach,2.5
Family & Parenting,Eldercare,7,the box office,2.5
Family & Parenting,Eldercare,7,tis age,2.5
Family & Parenting,Eldercare,7,johnny depp kisses ourluckysunday,2.5
Family & Parenting,Eldercare,7,jim mcelwain,2.5
Family & Parenting,Eldercare,7,the score,2.5
Family & Parenting,Eldercare,7,a heck,2.5
Family & Parenting,Eldercare,7,many people,1.25
Family & Parenting,Eldercare,7,the holiday,1.25
Family & Parenting,Eldercare,7,the remote,1.25
Family & Parenting,Eldercare,7,im hyperventilating,1.25
Family & Parenting,Eldercare,7,the nfl,1.25
Family & Parenting,Eldercare,7,the apocalyptic war,1.25
Family & Parenting,Eldercare,7,the age,1.25
Family & Parenting,Eldercare,7,the highsteppers,1.25
Family & Parenting,Eldercare,7,varsity football kidd,1.25
Family & Parenting,Eldercare,7,ass men,1.25
Family & Parenting,Eldercare,7,free surgeries,1.25
Family & Parenting,Eldercare,7,old drug habits,1.25
Family & Parenting,Eldercare,7,the old mutual wealth series,1.25
Family & Parenting,Eldercare,7,the godzilla movie,1.25
Family & Parenting,Eldercare,7,call everything,1.25
Family & Parenting,Eldercare,7,womens accessories,1.25
Family & Parenting,Eldercare,7,i care,1.25
Family & Parenting,Eldercare,7,the iron age,1.25
Family & Parenting,Eldercare,7,ltc insur,1.25
Family & Parenting,Eldercare,7,a long time,1.25
Family & Parenting,Eldercare,7,other seasonal favorites,1.25
Family & Parenting,Eldercare,7,a bat,1.25
Family & Parenting,Eldercare,7,grow amaryllis bulbs,1.25
Family & Parenting,Eldercare,7,the old,1.25
Family & Parenting,Eldercare,7,the yankees,1.25
Family & Parenting,Eldercare,7,3d anime pussy,1.25
Family & Parenting,Eldercare,7,multiple issues,1.25
Family & Parenting,Eldercare,7,young women,1.25
Family & Parenting,Eldercare,7,top golf rn,1.25
Family & Parenting,Eldercare,7,batting stance aslong,1.25
Family & Parenting,Eldercare,7,age naket sex scenes,1.25
Family & Parenting,Eldercare,7,play football,1.25
Family & Parenting,Eldercare,7,maryland football,1.25
Religion & Sprituality,Christianity,10,trumps education secretary pick,6.504065040650407
Religion & Sprituality,Christianity,10,a mirror image,4.878048780487805
Religion & Sprituality,Christianity,10,the basics,4.878048780487805
Religion & Sprituality,Christianity,10,the religion,4.878048780487805
Religion & Sprituality,Christianity,10,altright outlets,4.0650406504065035
Religion & Sprituality,Christianity,10,radical christianity lets,4.0650406504065035
Religion & Sprituality,Christianity,10,the relic,4.0650406504065035
Religion & Sprituality,Christianity,10,bible islam muslims,3.2520325203252036
Religion & Sprituality,Christianity,10,multi awardwinning book,3.2520325203252036
Religion & Sprituality,Christianity,10,donald trumps education secretary pick,3.2520325203252036
Religion & Sprituality,Christianity,10,christianity god jesus,3.2520325203252036
Religion & Sprituality,Christianity,10,new secularism,2.4390243902439024
Religion & Sprituality,Christianity,10,christianitys rise tests,2.4390243902439024
Religion & Sprituality,Christianity,10,a collective,2.4390243902439024
Religion & Sprituality,Christianity,10,the ones,1.6260162601626018
Religion & Sprituality,Christianity,10,same one,1.6260162601626018
Religion & Sprituality,Christianity,10,frm christianity,1.6260162601626018
Religion & Sprituality,Christianity,10,death messianic d,1.6260162601626018
Religion & Sprituality,Christianity,10,trumps victory saying merry christmas,1.6260162601626018
Religion & Sprituality,Christianity,10,nepals new secularism nikkei asian review,1.6260162601626018
Religion & Sprituality,Christianity,10,christianity didnt,1.6260162601626018
Religion & Sprituality,Christianity,10,catholism and christianity,1.6260162601626018
Religion & Sprituality,Christianity,10,trump the savior,1.6260162601626018
Religion & Sprituality,Christianity,10,communism christianity w,1.6260162601626018
Religion & Sprituality,Christianity,10,way or hell,1.6260162601626018
Religion & Sprituality,Christianity,10,schooling heaven,1.6260162601626018
Religion & Sprituality,Christianity,10,first pagan temple,1.6260162601626018
Religion & Sprituality,Christianity,10,the same,1.6260162601626018
Religion & Sprituality,Christianity,10,schooling d3,1.6260162601626018
Religion & Sprituality,Christianity,10,christ christianity,1.6260162601626018
Religion & Sprituality,Christianity,10,christianity video thanks,1.6260162601626018
Religion & Sprituality,Christianity,10,the people,1.6260162601626018
Religion & Sprituality,Christianity,10,a choice,1.6260162601626018
Religion & Sprituality,Christianity,10,the need,1.6260162601626018
Religion & Sprituality,Christianity,10,trumps education secretary pick wants,1.6260162601626018
Religion & Sprituality,Christianity,10,christianity conservative how da,0.8130081300813009
Religion & Sprituality,Christianity,10,fire victim constance reed shares touching and brave testimonial,0.8130081300813009
Religion & Sprituality,Christianity,10,free pictures,0.8130081300813009
Religion & Sprituality,Christianity,10,american education,0.8130081300813009
Religion & Sprituality,Christianity,10,enemy nothing,0.8130081300813009
Religion & Sprituality,Christianity,10,interrupted jen hatmaker christianity,0.8130081300813009
Religion & Sprituality,Christianity,10,christian religious experts,0.8130081300813009
Religion & Sprituality,Christianity,10,can christians,0.8130081300813009
Religion & Sprituality,Christianity,10,official religion,0.8130081300813009
Religion & Sprituality,Christianity,10,a theological dialogue,0.8130081300813009
Religion & Sprituality,Christianity,10,the optimistic thinkers,0.8130081300813009
Religion & Sprituality,Christianity,10,leaps bounds,0.8130081300813009
Religion & Sprituality,Christianity,10,foolish religions,0.8130081300813009
Religion & Sprituality,Christianity,10,conservative triggered,0.8130081300813009
Religion & Sprituality,Christianity,10,only christianity and isl,0.8130081300813009
Food & Drink,Desserts & Baking,6,cake and cheesecake,8.176100628930817
Food & Drink,Desserts & Baking,6,dad sure,6.918238993710692
Food & Drink,Desserts & Baking,6,banana chocolate dessert strawberry favim,6.289308176100629
Food & Drink,Desserts & Baking,6,food dessert,4.40251572327044
Food & Drink,Desserts & Baking,6,a edo gift card,1.8867924528301887
Food & Drink,Desserts & Baking,6,dessert spring,1.8867924528301887
Food & Drink,Desserts & Baking,6,bridget malcolm,1.8867924528301887
Food & Drink,Desserts & Baking,6,secret model,1.8867924528301887
Food & Drink,Desserts & Baking,6,christmas ass art,1.257861635220126
Food & Drink,Desserts & Baking,6,food dessert autumn kale apple,1.257861635220126
Food & Drink,Desserts & Baking,6,overcoming insomnia and her goto dessert,1.257861635220126
Food & Drink,Desserts & Baking,6,pineapple mango lemonade,1.257861635220126
Food & Drink,Desserts & Baking,6,greek style roasted mushrooms,1.257861635220126
Food & Drink,Desserts & Baking,6,healthy options,1.257861635220126
Food & Drink,Desserts & Baking,6,a brownie sundae,1.257861635220126
Food & Drink,Desserts & Baking,6,dessert food,1.257861635220126
Food & Drink,Desserts & Baking,6,a proper strawberry,1.257861635220126
Food & Drink,Desserts & Baking,6,recipes food dessert,1.257861635220126
Food & Drink,Desserts & Baking,6,white chocolate mousse cake,1.257861635220126
Food & Drink,Desserts & Baking,6,dinner and dessert,1.257861635220126
Food & Drink,Desserts & Baking,6,carrot cake and cheesecake,1.257861635220126
Food & Drink,Desserts & Baking,6,food dessert sneak peek recipe,1.257861635220126
Food & Drink,Desserts & Baking,6,favorite dessert maker,1.257861635220126
Food & Drink,Desserts & Baking,6,campaignfinancereform climatechange,1.257861635220126
Food & Drink,Desserts & Baking,6,a brownie,1.257861635220126
Food & Drink,Desserts & Baking,6,local ingredients,1.257861635220126
Food & Drink,Desserts & Baking,6,farfalle appetizer,1.257861635220126
Food & Drink,Desserts & Baking,6,quinoa salad,1.257861635220126
Food & Drink,Desserts & Baking,6,rhubarb pie,1.257861635220126
Food & Drink,Desserts & Baking,6,juli bauers paleo cookbook buffalo chicken,1.257861635220126
Food & Drink,Desserts & Baking,6,a long day learning,1.257861635220126
Food & Drink,Desserts & Baking,6,the creamiest,1.257861635220126
Food & Drink,Desserts & Baking,6,dinner snacks,1.257861635220126
Food & Drink,Desserts & Baking,6,dessert foodie easy recipe,1.257861635220126
Food & Drink,Desserts & Baking,6,maplerosemary vinaigrette,1.257861635220126
Food & Drink,Desserts & Baking,6,breakfast lunch,1.257861635220126
Food & Drink,Desserts & Baking,6,the poached pears 3sp,1.257861635220126
Food & Drink,Desserts & Baking,6,order dessert,1.257861635220126
Food & Drink,Desserts & Baking,6,red pepper herbs and feta,1.257861635220126
Food & Drink,Desserts & Baking,6,none other,1.257861635220126
Food & Drink,Desserts & Baking,6,food dessert butternut squash and bacon salad,1.257861635220126
Food & Drink,Desserts & Baking,6,candy corn halloween cocktail,1.257861635220126
Food & Drink,Desserts & Baking,6,dessert ww wei http,1.257861635220126
Food & Drink,Desserts & Baking,6,the perfect dessert,0.628930817610063
Food & Drink,Desserts & Baking,6,someones house,0.628930817610063
Food & Drink,Desserts & Baking,6,desserts fruits vegan,0.628930817610063
Food & Drink,Desserts & Baking,6,a night,0.628930817610063
Food & Drink,Desserts & Baking,6,favorite dessert,0.628930817610063
Food & Drink,Desserts & Baking,6,fav dessert,0.628930817610063
Food & Drink,Desserts & Baking,6,overcoming insomnia and her goto dessert victoriassecret,0.628930817610063
Travel,Camping,8,camping adventures,18.94273127753304
Travel,Camping,8,a family camping package,7.929515418502203
Travel,Camping,8,the pop quiz challenge,7.929515418502203
Travel,Camping,8,a chance,7.929515418502203
Travel,Camping,8,camping world stadium,5.286343612334802
Travel,Camping,8,the lord god,1.762114537444934
Travel,Camping,8,pizzagate investigate moloch,1.762114537444934
Travel,Camping,8,maschine bucks fishing camping has,1.762114537444934
Travel,Camping,8,a basement,1.762114537444934
Travel,Camping,8,the tent,1.3215859030837005
Travel,Camping,8,a video,1.3215859030837005
Travel,Camping,8,sex clip,1.3215859030837005
Travel,Camping,8,black girl,1.3215859030837005
Travel,Camping,8,bronx hot women,1.3215859030837005
Travel,Camping,8,camping porn,1.3215859030837005
Travel,Camping,8,investigate moloch maschine bucks fishing camping has,1.3215859030837005
Travel,Camping,8,the stars,1.3215859030837005
Travel,Camping,8,cash dont,0.881057268722467
Travel,Camping,8,pop up s family outdoor waterproof beach camping hiking tent,0.881057268722467
Travel,Camping,8,koa holiday gift guide giveaway,0.881057268722467
Travel,Camping,8,night days camping trip,0.4405286343612335
Travel,Camping,8,a problem,0.4405286343612335
Travel,Camping,8,low winter price,0.4405286343612335
Travel,Camping,8,frags im a dirty camping bastard,0.4405286343612335
Travel,Camping,8,rs crore,0.4405286343612335
Travel,Camping,8,porn flix sites,0.4405286343612335
Travel,Camping,8,the led camping lantern,0.4405286343612335
Travel,Camping,8,ultimate relationship goals,0.4405286343612335
Travel,Camping,8,camping ready,0.4405286343612335
Travel,Camping,8,shocker nation,0.4405286343612335
Travel,Camping,8,gamer geek camping,0.4405286343612335
Travel,Camping,8,camping site tents,0.4405286343612335
Travel,Camping,8,cabin cut outs moose,0.4405286343612335
Travel,Camping,8,other items,0.4405286343612335
Travel,Camping,8,portable outdoor traveling camping parachute nylon fabric hammock 660lbs raku rvparts automotive,0.4405286343612335
Travel,Camping,8,the world,0.4405286343612335
Travel,Camping,8,favorite tiger camping world stadium,0.4405286343612335
Travel,Camping,8,a very bad idea saturdayscreams,0.4405286343612335
Travel,Camping,8,the bible hot women,0.4405286343612335
Travel,Camping,8,the abandonded ruins,0.4405286343612335
Travel,Camping,8,camping tents sports clothing,0.4405286343612335
Travel,Camping,8,the early morning sundaybrunch tlow wanderlust,0.4405286343612335
Travel,Camping,8,kampa camping trinkglas thumbler xl,0.4405286343612335
Travel,Camping,8,car repair led lantern work camping lamp spotlight light grey gt,0.4405286343612335
Travel,Camping,8,waterproof beach camping hiking tent,0.4405286343612335
Travel,Camping,8,watt folding solar panels,0.4405286343612335
Travel,Camping,8,the great solar cooking,0.4405286343612335
Travel,Camping,8,hot women,0.4405286343612335
Travel,Camping,8,like first day,0.4405286343612335
Travel,Camping,8,fuckin nigger,0.4405286343612335
Society,Senior Living,4,glass rectangular coffee table shelf chrome wood living room furniture,26.256983240223462
Society,Senior Living,4,clear glass oval side coffee table shelf chrome base living room furniture,16.201117318435752
Society,Senior Living,4,room pearls,13.966480446927374
Society,Senior Living,4,sea shell,13.40782122905028
Society,Senior Living,4,top coffee table,13.40782122905028
Society,Senior Living,4,old bc,5.58659217877095
Society,Senior Living,4,fortune cookies,1.675977653631285
Society,Senior Living,4,a video,1.675977653631285
Society,Senior Living,4,the c,1.675977653631285
Society,Senior Living,4,development living official music video,1.675977653631285
Society,Senior Living,4,a playlist,1.675977653631285
Society,Senior Living,4,professional help,1.1173184357541899
Society,Senior Living,4,a ywar,1.1173184357541899
Society,Senior Living,4,a living,1.1173184357541899
Society,Senior Living,4,a living and shit,1.1173184357541899
Society,Senior Living,4,living room,1.1173184357541899
Society,Senior Living,4,a youth indoor soccer team,1.1173184357541899
Society,Senior Living,4,a thot year round,1.1173184357541899
Society,Senior Living,4,old brother,1.1173184357541899
Society,Senior Living,4,high schoolers lifegoals,1.1173184357541899
Society,Senior Living,4,jobsearch overdating,1.1173184357541899
Society,Senior Living,4,the point,1.1173184357541899
Society,Senior Living,4,a old encyclopedia,0.5586592178770949
Society,Senior Living,4,streetlights libraries museums,0.5586592178770949
Society,Senior Living,4,the gym,0.5586592178770949
Society,Senior Living,4,a vegan lifestyle,0.5586592178770949
Society,Senior Living,4,bpc the village,0.5586592178770949
Society,Senior Living,4,the world im living,0.5586592178770949
Society,Senior Living,4,flora tsang,0.5586592178770949
Society,Senior Living,4,new yorkers,0.5586592178770949
Society,Senior Living,4,much damagebegan,0.5586592178770949
Society,Senior Living,4,hope local woman,0.5586592178770949
Society,Senior Living,4,golf courses,0.5586592178770949
Society,Senior Living,4,old play ncaa football,0.5586592178770949
Society,Senior Living,4,a movie,0.5586592178770949
Society,Senior Living,4,paedophile rapist,0.5586592178770949
Society,Senior Living,4,weare pennstateforever,0.5586592178770949
Society,Senior Living,4,coffee inst,0.5586592178770949
Society,Senior Living,4,funky little beat,0.5586592178770949
Society,Senior Living,4,a years,0.5586592178770949
Society,Senior Living,4,many ways,0.5586592178770949
Society,Senior Living,4,ie main benefit,0.5586592178770949
Society,Senior Living,4,good old days,0.5586592178770949
Society,Senior Living,4,old girl,0.5586592178770949
Society,Senior Living,4,contact details,0.5586592178770949
Society,Senior Living,4,sydney australia,0.5586592178770949
Society,Senior Living,4,a senior f,0.5586592178770949
Society,Senior Living,4,kikyo inuyasha manga anime,0.5586592178770949
Society,Senior Living,4,glass top coffee table,0.5586592178770949
Society,Senior Living,4,mayfair cale living,0.5586592178770949
Society,Gay Life,4,real life,9.523809523809524
Society,Gay Life,4,anime vs,5.442176870748299
Society,Gay Life,4,the realworld locations,5.442176870748299
Society,Gay Life,4,gay online vs,2.7210884353741496
Society,Gay Life,4,the crocodiles,2.7210884353741496
Society,Gay Life,4,battle southern wildfires,2.0408163265306123
Society,Gay Life,4,secret life,2.0408163265306123
Society,Gay Life,4,im gay,2.0408163265306123
Society,Gay Life,4,joe mcknights black life didnt matter,2.0408163265306123
Society,Gay Life,4,the state,2.0408163265306123
Society,Gay Life,4,new song,2.0408163265306123
Society,Gay Life,4,public life,1.3605442176870748
Society,Gay Life,4,ignorant people,1.3605442176870748
Society,Gay Life,4,a real life human,1.3605442176870748
Society,Gay Life,4,the baseball song,1.3605442176870748
Society,Gay Life,4,new life motto,1.3605442176870748
Society,Gay Life,4,money retirement marriage children fr successful life,1.3605442176870748
Society,Gay Life,4,a straight person,1.3605442176870748
Society,Gay Life,4,gay relatives,1.3605442176870748
Society,Gay Life,4,the face,1.3605442176870748
Society,Gay Life,4,the job,1.3605442176870748
Society,Gay Life,4,travelleisure dunkin donuts,1.3605442176870748
Society,Gay Life,4,life type,1.3605442176870748
Society,Gay Life,4,friend i,1.3605442176870748
